No,niche_id,application_types,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
1,blog;ecommerce;medical;realestate;food;travel,blog;editorial;article;storefront;product-grid;patient-portal;wellness-app;property-listing;agent-portfolio;restaurant-site;menu-display;booking-platform;hotel-booking,Classic Elegant,Serif + Sans,Playfair Display,Inter,elegant, luxury, sophisticated, timeless, premium, editorial,Luxury brands, fashion, spa, beauty, editorial, magazines, high-end e-commerce,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700|Playfair+Display:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Playfair+Display:wght@400;500;600;700&display=swap');,fontFamily: { serif: ['Playfair Display', 'serif'], sans: ['Inter', 'sans-serif'] },High contrast between elegant heading and clean body. Perfect for luxury/premium.
2,saas;education;realestate;social;travel,web-app;productivity-tool;lms;online-course;training-platform;property-search;property-management;social-network;community-forum;booking-platform;travel-planner,Modern Professional,Sans + Sans,Poppins,Open Sans,modern, professional, clean, corporate, friendly, approachable,SaaS, corporate sites, business apps, startups, professional services,https://fonts.google.com/share?selection.family=Open+Sans:wght@300;400;500;600;700|Poppins:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;500;600;700&family=Poppins:wght@400;500;600;700&display=swap');,fontFamily: { heading: ['Poppins', 'sans-serif'], body: ['Open Sans', 'sans-serif'] },Geometric Poppins for headings, humanist Open Sans for readability.
3,saas;ecommerce,web-app;productivity-tool;storefront;product-grid,Tech Startup,Sans + Sans,Space Grotesk,DM Sans,tech, startup, modern, innovative, bold, futuristic,Tech companies, startups, SaaS, developer tools, AI products,https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;700|Space+Grotesk:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&family=Space+Grotesk:wght@400;500;600;700&display=swap');,fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['DM Sans', 'sans-serif'] },Space Grotesk has unique character, DM Sans is highly readable.
4,blog,blog;editorial;article,Editorial Classic,Serif + Serif,Cormorant Garamond,Libre Baskerville,editorial, classic, literary, traditional, refined, bookish,Publishing, blogs, news sites, literary magazines, book covers,https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@400;500;600;700|Libre+Baskerville:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Libre+Baskerville:wght@400;700&display=swap');,fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Libre Baskerville', 'serif'] },All-serif pairing for traditional editorial feel.
5,dashboard,analytics;admin-panel;data-visualization,Minimal Swiss,Sans + Sans,Inter,Inter,minimal, clean, swiss, functional, neutral, professional,Dashboards, admin panels, documentation, enterprise apps, design systems,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap');,fontFamily: { sans: ['Inter', 'sans-serif'] },Single font family with weight variations. Ultimate simplicity.
6,portfolio;education,design-portfolio;creative-studio;classroom-tool;quiz-platform;student-portal,Playful Creative,Display + Sans,Fredoka,Nunito,playful, friendly, fun, creative, warm, approachable,Children's apps, educational, gaming, creative tools, entertainment,https://fonts.google.com/share?selection.family=Fredoka:wght@400;500;600;700|Nunito:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@300;400;500;600;700&display=swap');,fontFamily: { heading: ['Fredoka', 'sans-serif'], body: ['Nunito', 'sans-serif'] },Rounded, friendly fonts perfect for playful UIs.
7,marketing;portfolio;travel,landing-page;hero-section;design-portfolio;creative-studio;tour-operator;travel-blog;booking-platform,Bold Statement,Display + Sans,Bebas Neue,Source Sans 3,bold, impactful, strong, dramatic, modern, headlines,Marketing sites, portfolios, agencies, event pages, sports,https://fonts.google.com/share?selection.family=Bebas+Neue|Source+Sans+3:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');,fontFamily: { display: ['Bebas Neue', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] },Bebas Neue for large headlines only. All-caps display font.
8,medical,patient-portal;wellness-app,Wellness Calm,Serif + Sans,Lora,Raleway,calm, wellness, health, relaxing, natural, organic,Health apps, wellness, spa, meditation, yoga, organic brands,https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Raleway:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Raleway:wght@300;400;500;600;700&display=swap');,fontFamily: { serif: ['Lora', 'serif'], sans: ['Raleway', 'sans-serif'] },Lora's organic curves with Raleway's elegant simplicity.
9,blog;industrial,blog;editorial;article;iot-control-panel;monitoring-system,Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,code, developer, technical, precise, functional, hacker,Developer tools, documentation, code editors, tech blogs, CLI apps,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600;700&display=swap');,fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['IBM Plex Sans', 'sans-serif'] },JetBrains for code, IBM Plex for UI. Developer-focused.
10,marketing;portfolio;food,landing-page;hero-section;design-portfolio;creative-studio;restaurant-site;food-blog;menu-display,Retro Vintage,Display + Serif,Abril Fatface,Merriweather,retro, vintage, nostalgic, dramatic, decorative, bold,Vintage brands, breweries, restaurants, creative portfolios, posters,https://fonts.google.com/share?selection.family=Abril+Fatface|Merriweather:wght@300;400;700,@import url('https://fonts.googleapis.com/css2?family=Abril+Fatface&family=Merriweather:wght@300;400;700&display=swap');,fontFamily: { display: ['Abril Fatface', 'serif'], body: ['Merriweather', 'serif'] },Abril Fatface for hero headlines only. High-impact vintage feel.
